id,produto,ano,quantidade
1,VINHO DE MESA,2008,287506811
2,Tinto,2008,241057928
3,Branco,2008,42942053
4,Rosado,2008,3506830
5,VINHO FINO DE MESA (VINIFERA),2008,47334501
6,Tinto,2008,27583032
7,Branco,2008,18812571
1,VINHO DE MESA,2009,205418206
2,Tinto,2009,164143454
3,Branco,2009,39211278
4,Rosado,2009,2063474
5,VINHO FINO DE MESA (VINIFERA),2009,39900568
6,Tinto,2009,18209043
7,Branco,2009,21366975
1,VINHO DE MESA,2010,195267980
2,Tinto,2010,157290088
3,Branco,2010,35408083
4,Rosado,2010,2569809
5,VINHO FINO DE MESA (VINIFERA),2010,24805713
6,Tinto,2010,11401406
7,Branco,2010,13013027
1,VINHO DE MESA,2011,257840749
2,Tinto,2011,210113358
3,Branco,2011,46007504
4,Rosado,2011,1719887
5,VINHO FINO DE MESA (VINIFERA),2011,47598471
6,Tinto,2011,24104740
7,Branco,2011,22739426
1,VINHO DE MESA,2012,212777037
2,Tinto,2012,175875432
3,Branco,2012,34938249
4,Rosado,2012,1963356
5,VINHO FINO DE MESA (VINIFERA),2012,45200730
6,Tinto,2012,24027589
7,Branco,2012,20647238
1,VINHO DE MESA,2013,196904222
2,Tinto,2013,163111797
3,Branco,2013,32066403
4,Rosado,2013,1726022
5,VINHO FINO DE MESA (VINIFERA),2013,45782530
6,Tinto,2013,23156458
7,Branco,2013,21906349
1,VINHO DE MESA,2014,196173123
2,Tinto,2014,157776363
3,Branco,2014,37438069
4,Rosado,2014,958691
5,VINHO FINO DE MESA (VINIFERA),2014,38464314
6,Tinto,2014,17208996
7,Branco,2014,20054804
1,VINHO DE MESA,2015,210308560
2,Tinto,2015,169811472
3,Branco,2015,39557250
4,Rosado,2015,939838
5,VINHO FINO DE MESA (VINIFERA),2015,37148982
6,Tinto,2015,16745896
7,Branco,2015,19561966
1,VINHO DE MESA,2016,86319015
2,Tinto,2016,75279191
3,Branco,2016,10727099
4,Rosado,2016,312725
5,VINHO FINO DE MESA (VINIFERA),2016,18070626
6,Tinto,2016,8774847
7,Branco,2016,8705066
1,VINHO DE MESA,2017,255015187
2,Tinto,2017,1365957
3,Branco,2017,217527985
4,Rosado,2017,36121245
5,VINHO FINO DE MESA (VINIFERA),2017,44537870
6,Tinto,2017,21442212
7,Branco,2017,21928400
1,VINHO DE MESA,2018,218375636
2,Tinto,2018,188270142
3,Branco,2018,29229970
4,Rosado,2018,875524
5,VINHO FINO DE MESA (VINIFERA),2018,38707220
6,Tinto,2018,19118254
7,Branco,2018,18297257
1,VINHO DE MESA,2019,144629737
2,Tinto,2019,121045115
3,Branco,2019,22032828
4,Rosado,2019,1551794
5,VINHO FINO DE MESA (VINIFERA),2019,37615422
6,Tinto,2019,17389377
7,Branco,2019,18193055
1,VINHO DE MESA,2020,124200414
2,Tinto,2020,103916391
3,Branco,2020,19568734
4,Rosado,2020,715289
5,VINHO FINO DE MESA (VINIFERA),2020,32516686
6,Tinto,2020,15451883
7,Branco,2020,15487915
1,VINHO DE MESA,2021,173899995
2,Tinto,2021,146075996
3,Branco,2021,26432799
4,Rosado,2021,1391200
5,VINHO FINO DE MESA (VINIFERA),2021,43474998
6,Tinto,2021,20433249
7,Branco,2021,20867999
1,VINHO DE MESA,2022,195031611
2,Tinto,2022,162844214
3,Branco,2022,30198430
4,Rosado,2022,1988968
5,VINHO FINO DE MESA (VINIFERA),2022,47511796
6,Tinto,2022,24417918
7,Branco,2022,20896613
1,VINHO DE MESA,2023,169762429
2,Tinto,2023,139320884
3,Branco,2023,27910299
4,Rosado,2023,2531246
5,VINHO FINO DE MESA (VINIFERA),2023,46268556
6,Tinto,2023,23615783
7,Branco,2023,20693437
